"Timestamp","1. What is Your University/College Name ?","2. What is your Age group?","3. What is your Gender?","4. What is Current Level ?","5. What is your Field of Study ? ","6. How much will you rate Artificial Intelligence comparing to Human Intelligence ","7. Have you ever used ChatGPT ?","8. If Yes, then in which sector do you use it more often?","9. Do you think the Development of ChatGPT is ","10. Will ChatGPT replace Google search engine ?","11. Should chatGPT be allowed to the students to take help in assignments ?","12. What impact Could ChatGPT make on the Society?"
"2023/02/20 3:26:29 AM AST","TMU","18-22","Female","Undergraduate Student","Yes","4","Yes","Research","Achievement","No","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","Plagiarism in Assignments;New positive Learnings"
"2023/02/20 3:48:55 AM AST","TMU","31-35","Female","Teaching Assistant","Yes","2","Yes","Book Summaries;Free Chat Assistant","Failure","No","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","More Hackers;More Cyber Crime by learning Offensive Things;Plagiarism in Assignments"
"2023/02/20 3:50:01 AM AST","University of delhi","18-22","Female","Undergraduate Student","No","2","No","Other","Dont Know","No","Yes , if we have discover something why not we use that ?","More Cyber Crime by learning Offensive Things;Plagiarism in Assignments;Other"
"2023/02/20 3:57:53 AM AST","Seneca ","22-26","Female","Undergraduate Student","Business","1","Yes","Fun","Failure","No","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","Plagiarism in Assignments"
"2023/02/20 6:00:41 AM AST","TMU","18-22","Female","Undergraduate Student","Computer Science","2","Yes","Other","Achievement","Maybe","Yes , if we have discover something why not we use that ?","Plagiarism in Assignments"
"2023/02/20 6:58:47 AM AST","Delhi university ","18-22","Male","Undergraduate Student","Business","4","Yes","Research","Achievement","Maybe","Yes , if we have discover something why not we use that ?","Advancement in Robotics;Plagiarism in Assignments;New positive Learnings;Other"
"2023/02/20 7:52:01 AM AST","Dalhousie University ","18-22","Male","Undergraduate Student","Computer Science","3","Yes","Book Summaries;Other","Dont Know","No","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","Other"
"2023/02/20 8:35:21 AM AST","TMU","18-22","Male","Undergraduate Student","Computer Science","3","Yes","School Assignments;Research;Fun","Achievement","Maybe","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","Plagiarism in Assignments;Other"
"2023/02/20 9:13:14 AM AST","Toronto Metropolitan University","18-22","Male","Undergraduate Student","Computer Science","3","Yes","Research","Achievement","Maybe","Yes , if we have discover something why not we use that ?","Other"
"2023/02/20 10:50:53 AM AST","Toronto Metropolitan University","18-22","Male","Undergraduate Student","Computer Science","3","Yes","School Assignments;Research","Achievement","Maybe","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","Plagiarism in Assignments"
"2023/02/20 11:02:24 AM AST","TMU","18-22","Male","Undergraduate Student","Computer Science","4","Yes","Fun;Brain Stroming","Achievement","Yes","Yes , if we have discover something why not we use that ?","More Hackers;Advancement in Robotics;More Cyber Crime by learning Offensive Things;Plagiarism in Assignments;New positive Learnings"
"2023/02/20 11:06:43 AM AST","Toronto Metropolitan University ","18-22","Male","Undergraduate Student","Computer Science","3","Yes","School Assignments;Research;Book Summaries","Achievement","Yes","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","Advancement in Robotics;New positive Learnings"
"2023/02/20 11:32:26 AM AST","Sahib Ahluwalia","27-31","Male","Undergraduate Student","Computer Science","2","Yes","School Assignments;Research;Fun;Brain Stroming","Achievement","Maybe","Yes , if we have discover something why not we use that ?","Advancement in Robotics;Plagiarism in Assignments;New positive Learnings"
"2023/02/20 12:04:08 PM AST","Toronto Metropolitan University","18-22","Female","Undergraduate Student","Computer Science","1","Yes","School Assignments;Research;Fun;Encyclopedia;Free Chat Assistant","Achievement","Maybe","Yes , if we have discover something why not we use that ?","More Hackers;Advancement in Robotics;More Cyber Crime by learning Offensive Things;Plagiarism in Assignments;New positive Learnings"
"2023/02/20 12:06:10 PM AST","TMU","18-22","Male","Undergraduate Student","Computer Science","2","","Research;Fun;Encyclopedia","Achievement","Yes","Yes , if we have discover something why not we use that ?","More Hackers;Advancement in Robotics;More Cyber Crime by learning Offensive Things;Plagiarism in Assignments;New positive Learnings;Other"
"2023/02/20 12:06:52 PM AST","TMU","18-22","Male","Undergraduate Student","Computer Science","2","Yes","Research;Fun;Brain Stroming","Achievement","No","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","Plagiarism in Assignments;New positive Learnings"
"2023/02/20 12:08:14 PM AST","Toronto Metropolitan University ","18-22","Male","Undergraduate Student","Computer Science","3","Yes","Research;Fun","Achievement","Maybe","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","Other"
"2023/02/20 12:36:38 PM AST","Toronto Metropolitan University","18-22","Female","Undergraduate Student","Computer Science","5","No","Research;Fun;Encyclopedia;Brain Stroming;Free Chat Assistant","Dont Know","Maybe","No , This will be unfair to the Universities , Colleges and Schools to check Plagiarism","Advancement in Robotics;Plagiarism in Assignments;New positive Learnings"
